dgv_organization_id,dgv_organization_name,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
5527987bc751df037faec475,Communauté d'Agglomération Plaine Centrale du Val-de-Marne,5527987bc751df037faec475,Communauté d'agglomération Plaine Centrale du Val-de-Marne,Communauté d'Agglomération Plaine Centrale du Val-de-Marne,39dc5a36ac5a5d6d08e959381f8a6b0e,http://www.geocatalogue.fr/www/dcat/39dc5a36ac5a5d6d08e959381f8a6b0e/catalog.rdf
55279335c751df7b78aec475,Mairie de Créteil,55279335c751df7b78aec475,Ville de Créteil,Ville de Créteil,b73a2cb44b8e67da0961e5f264fdb866,http://www.geocatalogue.fr/www/dcat/b73a2cb44b8e67da0961e5f264fdb866/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Association Climatologique de l'Hérault,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Communauté de Communes du Grand Pic Saint Loup,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Conseil Départemental de l'Hérault,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Conseil départemental de l'Hérault,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,DT - SIG Observatoire - MontpellierMéditerranée Métropole,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,MONTPELLIER MEDITERRANEE METROPOLE,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Montpellier Méditerranée Métropole,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Parc naturel régional de la Narbonnaise en Méditerranée,Parc Naturel Régional de la Narbonnaise en Méditerranée (PNR-NM),705bfaa2ae0cde5815e142446c9ab3a9,http://www.geocatalogue.fr/www/dcat/705bfaa2ae0cde5815e142446c9ab3a9/catalog.rdf
