dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
61a4b9d53f9f273936e65c73,SARL RUITER,1.0,,,,,
61a498274ebad89afe25855a,LURS,0.0,,,,,
61a49648c0979560389d98bb,Pierrerue,0.0,,,,,
61a1ffaa799ecffd11a8f2a3,Mairie de Saint-Victor,0.0,,,,,
619fb4effab7f89c7c79cc2b,GAZ DE BORDEAUX,1.0,,,,,
619f88fc6441e5690615915f,Commune d'Annecy,8.0,,,,,
619f8668cd87c100f68043b2,Communauté d'Agglomération d'Epinal,1.0,,,,,
619f6a6f7e3df0247d6a31e1,Commune de Marseillan,5.0,,,,,
619f618f38e27e934733e60c,Entre Juine et Renarde ,3.0,,,,,
619f5a4ea68383df927dab3f,Ville d'Epinal,3.0,,,,,
619f587a232623229cd54d68,Saint-Marcellin ,12.0,,,,,
619f564479a7dea461877127,de Nieuwe opdrachtgevers / les Nouveaux commanditaires,0.0,,,,,
619f54c1b14993cfec0ae57f,MADEYE,0.0,,,,,
619f526da55206d472b473e0,Nouveaux commanditaires,0.0,,,,,
619f4d154722140c6a68b763,Conseil d’État,1.0,,,,,
619e575022a8d1fb652dca27,JAGGAER,0.0,,,,,
619e569e54254c79bfe3a0e6,JAGGAER,0.0,,,,,
619e52c5aed3f24ffa360651,Cità di Portivechju,8.0,,,,,
619e4722b50849a603fba0ad,Neogeo Technologies,0.0,,,,,
619e463975eac24a3b0a94b1,Brisbane Media,0.0,,,,,
619e41b57cc217f593cadcf9,Communauté de Communes Maurienne-Galibier ,6.0,,,,,
619e2f12f12645e0ad497824,Gendarmerie Moulins RP,0.0,,,,,
619d1ab0f1e339d014a2bc26,Ligue d'improvisation théâtrale de l'Isère - Cie du Caméléon ,0.0,,,,,
619cffdb7255585b14d4dbea,Commune de Labets-Biscay,3.0,,,,,
619ca98909e3d55199adf273,NSPPolls,1.0,,,,,
619c2b97d1f72e2b35f963c2,Investir & Business,2.0,,,,,
619ba66774468497ee0ee994,Conseil départemental de Haute-Marne,0.0,,,,,
619ba30f1bbdd43d25cfe0ed,e-volta,1.0,,,,,
619b38ca8e244e0c8f7a3ce0,MANEO,0.0,,,,,
6197af3307dc2cd0775bd0c8,Statit,0.0,,,,,
61963e60c566a55aa1248519,NET6TM,0.0,,,,,
6194e0f682ea04f7c635f856,DOMDATA,0.0,,,,,
6193df57bd4689ec82ac6a23,insitu.app,0.0,,,,,
61937d50e54eade2bbf8e8df,Registre de Preuve de Covoiturage,1.0,,,,,
6192700003d71e71a703324e,ICF SA,0.0,,,,,
6192362c24753b6396ab4890,Blazevic,0.0,,,,,
618eb4cd4a08c1c8fc295d14,Bird Rides Inc. ,16.0,,,,,
618bb9aff6cc388d3a0afdb7,Territoire Circulaire,0.0,,,,,
618aa591b7e4f55545d68e14,INFOROMU,5.0,,,,,
618a3e56b983dc1a3b445f64,SARL FOMEL CONFORT,0.0,,,,,
618a2fa9105a410eaac64ca6,Mairie de Coublevie,0.0,,,,,
618912eafbd51809547c5c23,ScanUp,0.0,,,,,
618912722a50c98a213fdd9f,Maison France Services de Seurre,1.0,,,,,
6187a0db98abb51c0df7240d,L'Officiel de La Réunion,0.0,,,,,
618549fd170a0563a550966a,test,0.0,,,,,
61852e59fd2b1d4329567570,Savonnerie Plaisant,0.0,,,,,
6183b744ad99dcdd713f7503,MAZWIE ,0.0,,,,,
618292126ca6738c405a64a9,Le Poinçonnet,9.0,,,,,
61825ce4644be5d50abdb500,Applisoins,0.0,,,,,
618146338326c429ba31393e,SAS DIMMOZOR,0.0,,,,,
61810756cc56edf8bfdd59a2,Apeira Technologies,1.0,,,,,
6180fe1bf62fe36af274f9cb,Robin,0.0,,,,,
6180069d1ca356074efcf404,Protection Internationale n°24,0.0,,,,,
617d44809dbf8f848c157df3,LES AMIS DES ANIMAUX,0.0,,,,,
617abd128bebf3e66456c081,SAS SOCIETE OUEST LOCATION,1.0,,,,,
617abc786abe3cda19aaec18,SAS AUTO TOURS,1.0,,,,,
617ab1f8e4bd781501468cd5,Bump,1.0,,,,,
617aaf18c94b46dadc58a14d,Mairie de Ouistreham Riva-Bella,0.0,,,,,
617a98a519a26b90337055dd,"Direction de l’animation de la recherche, des études et des statistiques",1.0,,,,,
617a62f56417f23dda5f9023,LINEVIA,0.0,,,,,
6177cb1c5bf19c090d9fa0e9,TECHNIC ELEC 58,0.0,,,,,
61769dd6c77beeba875a5cf7,Commune de Diénay,0.0,,,,,
617671036c017474a0a5192d,Vars,0.0,,,,,
617670a1376fef2c0b9b846f,Saint-Crépin,0.0,,,,,
617670580136768584193782,Molines en Queyras,0.0,,,,,
61766fc90f40567e035bb3f3,La Roche de Rame,0.0,,,,,
61766f968510bc8b16d1a4c5,Puy Saint-Vincent,0.0,,,,,
61766f4bd9079ddb2f449420,L'Argentière-la-Bessée,0.0,,,,,
6176690d5db177dbba9d6b6d,Commune de Saulx-le-Duc,1.0,,,,,
61758577ebbd5fc8c28a296b,Gendarmerie CHAMONIX,0.0,,,,,
617352023813d35e6286a2b3,streaming vf hds,0.0,,,,,
6172a126670bb6f35892e057,Commune de Juxue,2.0,,,,,
61728c4a70d41cea21401ab6,Zoov,2.0,,,,,
617186c73f2ed0372ce9bf5f,MAIRIE ISSOUDUN-LETRIEIX,0.0,,,,,
61716d52edbc985e7b27e77d,Berthez,0.0,,,,,
617168240473ce2eff744b42,Commune d'Azay Le Ferron,0.0,,,,,
61715e87a7a8cc94df716446,MAIRIE DE SAINT MAURICE EN CHALENCON,0.0,,,,,
61711175b1084f27eb774b2c,GROUPE ABADIE,1.0,,,,,
61703ed0685424d082b045d3,G7 Taxi Services Holding ,0.0,,,,,
616ef91b58ff0038328a654c,Transdev • Normandie,1.0,,,,,
616ef0a67c5061885a5783ae,Avis Budget Group,2.0,,,,,
616edde138a8201e1d4c4268,LE RELAIS DU MONARQUE,0.0,,,,,
616d67c56ae669335a889949,Office Public de l'Habitat de la CAPA,8.0,,,,,
616d3b26628dce1f988ce5d1,Commune d'Ascain,0.0,,,,,
616d2c30c0c12cdc53014b4f,Instant System,0.0,,,,,
616aac9a8bdfd930be5fe5d8,LES PRODUCTIONS DE L'AMULETTE,0.0,,,,,
616982aef4d906f83debc7dd,Cour de cassation,1.0,,,,,
61697f078f9cee7d3b7930f7,L'Aérodrome de la Baie de Somme,1.0,,,,,
616848d1f0401b2714bc8cfc,BOYER PARC AUTOS,0.0,,,,,
616831c5c00d374e8d4cda9e,Commune de Hasparren,0.0,,,,,
616823c45f42e2678b98d305,VEO SA,1.0,,,,,
616814d9c40171dcb710249f,AEROPORT DE LYON,0.0,,,,,
6167f96feab2e89881c141d0,J'ybus,1.0,,,,,
6166dfad67c99417486721ef,VIENNE LOCATION VEHICULES,1.0,,,,,
61660e6b05994ab0a7b6666b,Caisse de Prévoyance Sociale de Polynésie Française,0.0,,,,,
6165a21226cd609a9e78c0fe,K-HELIOS,1.0,,,,,
61653d2aef53b23cbf48424b,Power Electrique,0.0,,,,,
616465ffef721f9e16dceb4d,LOCANOR,0.0,,,,,
6164584224fc25d18e1666ec,Ceillac,0.0,,,,,
616457b78bab54483d09da7a,Réotier,1.0,,,,,
61644fa40ed9f7c2ecf74895,ATLANTIQUE AUTO LOCATION,0.0,,,,,
61640babf0cf597a5738edb2,Syndicat Intercommunal d'Electricité et de Gaz du Puy-De-Dôme (IRVE),1.0,,,,,
6163f19e65890e747465a0c5,Mairie de Beynost (IRVE),1.0,,,,,
6163f01f7b240574f0c50337,Mairie de Montluel (IRVE),1.0,,,,,
6160a841a2acd13c54772ba6,JCBaronCifuentes,0.0,,,,,
6160625035a803070b50a7ea,evzen (SMEG Développement),2.0,,,,,
616048410cc0e10914142a29,Commune de Saint Marcellin en Forez,0.0,,,,,
616047469c2e173c822bc781,Commune de Saint Marcellin en Forez,0.0,,,,,
616016ffe577428401e9eff7,Saint-Clément-sur-Durance,1.0,,,,,
615f230a35aca761ce1d37fb,Régie Services Energie (IRVE),1.0,,,,,
615d728ca15c91982c16cadb,Centre Hospitalier le Vinatier,0.0,,,,,
615c65672b4ec9061e931c37,Nowigo App,1.0,,,,,
615c39384dc5f16f88209ca6,COMMUNAUTE PARIS-SACLAY,0.0,,,,,
615c2cdc46ad700e70557f3f,HERTZ France,1.0,,,,,
615c066b82c4711f4a0b5741,ACELEC CHARGE,0.0,,,,,
615b0a0d6541fe320d6f3e28,EUROPCAR MOBILITY GROUP FRANCE,1.0,,,,,
615af19db82315d65d7262f4,DEBELEC,1.0,,,,,
615aeb02fca30b0ef8bd6e30,L2B Lorette Beaucamp Bonnet,1.0,,,,,
615aab755092b05a9c69d30a,SIxt asset and Finance SAS,1.0,,,,,
6156e1bd069d712f3d80015b,VOLLEYBALL CAMARET,0.0,,,,,
6156bf57ae962337f6fa107c,COMPAGNIE PICARDE DE LOGISTIQUE AUTOMOBILE,0.0,,,,,
6156b338c8fda86df53a5899,Syndicat Départemental d'Énergie et des Déchets de la Haute-Marne,2.0,,,,,
6155ff5b68c2a081f4576d50,Aiguilles,1.0,,,,,
6155d890fa43ed23c306c467,SGAR NORMANDIE,1.0,,,,,
6155b46219abc0a9766ced47,CLUIB SUBAQUATIQUE DE CAEN,0.0,,,,,
